Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,num_units,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,capacity_factor,unmodified_cap_size,Num_VRE_Bins,variable_CF,gen_energy_source,gen_forced_outage_rate,gen_type,Fixed_OM_Cost_per_MWyr,gen_scheduled_outage_rate,Max_Cap_MW,Inv_Cost_per_MWyr
VA2_offshore_wind_turbine_1,18,0,0,12.0,VA2,Offshore Wind Turbine,1,12.0,0.0,8.84,1.0,0.0,0.0,1.0,12.0,1,0.0,Wind,0.0,Wind,0.0,0.0,0.0,0.0
VA2_solar_photovoltaic_1,18,0,0,3311.9,VA2,Solar Photovoltaic,1,42.46,0.864,8.84,78.0,0.367,0.178,1.0,42.46,1,0.0,Solar,0.0,Solar,0.0,0.0,0.0,0.0
VA3_solar_photovoltaic_1,19,0,0,42.5,VA3,Solar Photovoltaic,1,14.17,0.0,8.84,3.0,0.367,0.201,1.0,14.167,1,0.0,Solar,0.0,Solar,0.0,0.0,0.0,0.0
VA4_solar_photovoltaic_1,20,0,0,104.3,VA4,Solar Photovoltaic,1,17.38,0.0,8.84,6.0,0.0,0.0,1.0,17.383,1,0.0,Solar,0.0,Solar,0.0,0.0,0.0,0.0
WV1_onshore_wind_turbine_1,21,0,0,856.0,WV1,Onshore Wind Turbine,1,95.11,2.667,8.84,9.0,0.0,0.0,1.0,95.111,1,0.0,Wind,0.0,Wind,0.0,0.0,0.0,0.0
WV1_solar_photovoltaic_1,21,0,0,50.0,WV1,Solar Photovoltaic,1,50.0,0.0,8.84,1.0,0.0,0.139,1.0,50.0,1,0.0,Solar,0.0,Solar,0.0,0.0,0.0,0.0
DE1_distributed_generation_1,1,0,0,116.0,DE1,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2028096542726679,Solar,0.0,Solar,0.0,0.0,0.0,0.0
IL1_distributed_generation_1,2,0,0,108.0,IL1,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.214395205479452,Solar,0.0,Solar,0.0,0.0,0.0,0.0
KY3_distributed_generation_1,3,0,0,10.0,KY3,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2009290280495759,Solar,0.0,Solar,0.0,0.0,0.0,0.0
KY4_distributed_generation_1,4,0,0,4.0,KY4,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.1947751304631441,Solar,0.0,Solar,0.0,0.0,0.0,0.0
