Generator Type,Accreditation (%)
Nuclear,95.0
Biomass,75.0
Coal,84.0
Combined Cycle NG,79.0
Pumped Hydro,37.0
Combustion Turbine NG,62.0
Offshore Wind,60.0
Hydroelectric,37.0
Petroleum,92.0
Onshore Wind,35.0
Steam Turbine NG,75.0
Battery Storage,59.0
Solar,12.0
Distributed Generation,9.0
Demand Response,76.0
Aggregate Resource,100.0
