Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Min_Power,num_units,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,capacity_factor,unmodified_cap_size,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,gen_energy_source,gen_is_baseload,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_type,Model
OH1_natural_gas_steam_turbine_1,9,0,0,0.0,OH1,Natural Gas Steam Turbine,1,1.0,0.0,9.21,48590,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,13.7,east_north_central_naturalgas,78.0,0.64,0.64,6,6,0.63,1.26,Naturalgas,False,0.0,0.0,Naturalgas,1
OH1_nuclear_1,9,0,0,2176.0,OH1,Nuclear,1,1088.0,121.5,10.34,252000,0.0,0.5,2.0,0.0,0.0,0.0,1.0,1088.0,0.0,east_north_central_uranium,0.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.0,0.0,Nuclear,1
OH1_petroleum_liquids_1,9,0,0,196.2,OH1,Petroleum Liquids,1,6.54,2.573,11.47,0,0.0,0.18,30.0,1.634,1.106,0.0,1.0,6.54,0.0,east_north_central_distillate,0.0,3.78,3.78,1,1,0.0,0.0,Diesel,False,0.0,0.0,Petroleum,1
OH2_conventional_steam_coal_1,10,0,0,5557.9,OH2,Conventional Steam Coal,1,463.16,204.167,10.16,61272,1.78,0.5,12.0,1.037,3.606,5085.834,1.0,463.158,16.5,east_north_central_coal,110.0,0.57,0.57,24,24,0.095,0.19,Coal,True,0.0,0.0,Coal,1
OH2_natural_gas_fired_combined_cycle_1,10,0,0,2360.0,OH2,Natural Gas Fired Combined Cycle,1,590.0,47.5,7.24,12489,3.56,0.3,4.0,0.0,0.0,1970.0,1.0,590.0,2.0,east_north_central_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
OH2_natural_gas_fired_combined_cycle_2,10,0,0,4457.4,OH2,Natural Gas Fired Combined Cycle,2,742.9,288.167,6.96,10041,3.4,0.3,6.0,0.063,0.11,1244.519,1.0,742.9,2.0,east_north_central_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
OH2_natural_gas_fired_combustion_turbine_1,10,0,0,2908.6,OH2,Natural Gas Fired Combustion Turbine,1,90.89,46.422,11.84,11310,0.0,0.3,32.0,2.428,2.802,1887.878,1.0,90.894,3.5,east_north_central_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
OH2_natural_gas_steam_turbine_1,10,0,0,23.0,OH2,Natural Gas Steam Turbine,1,23.0,7.0,21.66,48590,1.0,0.5,1.0,0.0,3.936,0.0,1.0,23.0,13.7,east_north_central_naturalgas,78.0,0.64,0.64,6,6,0.63,1.26,Naturalgas,False,0.0,0.0,Naturalgas,1
OH2_petroleum_liquids_1,10,0,0,145.5,OH2,Petroleum Liquids,1,2.47,1.515,12.66,0,0.0,0.18,59.0,0.504,3.09,0.0,1.0,2.466,0.0,east_north_central_distillate,0.0,3.78,3.78,1,1,0.0,0.0,Diesel,False,0.0,0.0,Petroleum,1
OH3_natural_gas_fired_combustion_turbine_1,11,0,0,921.0,OH3,Natural Gas Fired Combustion Turbine,1,61.4,27.7,12.9,11325,0.0,0.3,15.0,2.713,3.087,1171.967,1.0,61.4,3.5,east_north_central_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
