Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27,thi
,,,,,,,,14,618.1558812,4859.908945,6321.740405,2482.842561,266.9169689,328.1912852,3393.193158,4967.435724,16222.76767,4162.010162,6454.53678,1059.534445,2541.971455,3216.559624,717.8569492,1174.040625,1576.235405,184.6499199,109.4059874,5581.913154,28733.68429,1154.419652,8076.561981,257.1537221,51.00334009,914.8807277,723.2461586,40.776802
,,,,,,,,15,619.2683732,4850.144263,6325.620288,2483.716404,266.9958964,328.5944199,3395.864801,4952.686898,16194.53659,4165.932137,6445.842861,1058.109785,2527.904121,3198.791702,713.8928089,1167.54856,1570.954554,184.0283797,109.0345765,5563.24907,28990.33434,1155.597909,8080.39788,257.2746442,51.02659292,910.4472764,719.7347369,43.6568
,,,,,,,,16,621.975871,4838.136818,6299.179069,2484.796441,267.1104217,330.1938779,3411.415144,4921.620433,16155.23673,4182.351156,6431.130776,1055.688004,2522.72765,3192.333733,712.4270687,1165.150829,1575.186566,184.5208997,109.3261294,5578.220365,29157.48152,1159.644895,8099.689624,257.897048,51.14532869,910.8544505,720.0644722,46.4468
,,,,,,,,17,631.9180846,4816.655834,6346.437592,2490.346673,267.7207553,335.6706091,3464.9525,4915.668475,16101.95518,4256.629342,6483.219401,1064.241842,2534.658815,3207.539011,715.7965534,1170.662935,1595.375861,186.8830178,110.7229849,5649.74872,29342.68503,1174.39917,8161.951377,259.8749974,51.53483182,917.5576459,725.3695054,47.526802
,,,,,,,,18,645.1046208,4834.962338,6520.314606,2505.157376,269.3156488,342.3915538,3530.72614,4935.360912,16147.35515,4358.673758,6588.907501,1081.589591,2563.299527,3243.785926,723.8856372,1183.893837,1621.702138,189.9658875,112.5487742,5742.99998,29603.73305,1196.901417,8250.275723,262.6833573,52.08795332,927.798064,733.460309,49.028
,,,,,,,,19,644.466802,4821.314601,6674.058736,2498.690525,268.6222848,343.0544299,3532.687827,4962.932348,16066.10481,4375.758433,6677.682665,1096.162277,2566.629329,3247.748829,724.8192574,1185.433249,1615.889519,189.2811334,112.1454,5722.475399,29733.27512,1197.480326,8204.875451,261.2402892,51.79738013,923.4262027,729.9994594,49.9568
,,,,,,,,20,629.6749154,4750.538766,6602.610674,2458.018415,264.2268977,336.0496758,3455.334138,4937.335864,15905.12118,4303.273371,6610.646988,1085.161885,2525.935182,3195.977766,713.3229193,1166.632352,1579.131484,184.9817987,109.5934155,5592.332322,29473.52978,1171.723725,8007.415952,254.9494401,50.5507269,902.593307,713.5137917,50.4068
,,,,,,,,21,599.937578,4686.783664,6425.912542,2397.819863,257.7401641,321.2087066,3300.734738,4857.898332,15706.32214,4122.433606,6453.485465,1059.363182,2452.156135,3102.358975,692.4882059,1132.560322,1513.220278,177.2577917,105.0197472,5358.915714,28847.12271,1119.169098,7710.136043,245.4905976,48.67810235,870.2423775,687.9311056,50.7668
,,,,,,,,22,573.4415765,4698.326814,6358.727462,2372.266597,254.9526703,307.122488,3156.944567,4854.509631,15793.03426,3951.69472,6363.451801,1044.582933,2388.755284,3021.900205,674.5963163,1103.280489,1454.624215,170.4012717,100.9595017,5151.356873,28832.93636,1071.263604,7536.540643,239.9635579,47.58655719,842.2726884,665.8249346,49.8668
,,,,,,,,23,552.2657651,4668.282268,6234.318847,2348.837297,252.4161337,296.2771962,3045.701721,4826.071651,15822.28555,3810.754315,6232.392065,1023.06709,2336.981702,2956.276732,659.9795039,1079.357466,1410.359304,165.2275423,97.89616999,4994.587136,28827.97474,1032.834193,7466.531878,237.7398178,47.16190202,821.1779094,649.1229372,46.1768
