Resource,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
OH1_biomass_1,20,20,0,0,0
OH1_conventional_steam_coal_1,20,20,0,0,0
OH1_natural_gas_fired_combined_cycle_1,20,20,0,0,0
OH1_natural_gas_fired_combined_cycle_2,20,20,0,0,0
OH1_natural_gas_fired_combustion_turbine_1,20,20,0,0,0
OH1_natural_gas_steam_turbine_1,20,20,0,0,0
OH1_nuclear_1,20,20,0,0,0
OH1_onshore_wind_turbine_1,20,20,0,0,0
OH1_petroleum_liquids_1,20,20,0,0,0
OH1_solar_photovoltaic_1,20,20,0,0,0
OH2_batteries_1,20,20,0,0,0
OH2_biomass_1,20,20,0,0,0
OH2_conventional_hydroelectric_1,20,20,0,0,0
OH2_conventional_steam_coal_1,20,20,0,0,0
OH2_natural_gas_fired_combined_cycle_1,20,20,0,0,0
OH2_natural_gas_fired_combined_cycle_2,20,20,0,0,0
OH2_natural_gas_fired_combustion_turbine_1,20,20,0,0,0
OH2_natural_gas_steam_turbine_1,20,20,0,0,0
OH2_onshore_wind_turbine_1,20,20,0,0,0
OH2_petroleum_liquids_1,20,20,0,0,0
OH2_solar_photovoltaic_1,20,20,0,0,0
OH3_natural_gas_fired_combustion_turbine_1,20,20,0,0,0
OH3_petroleum_liquids_1,20,20,0,0,0
OH3_solar_photovoltaic_1,20,20,0,0,0
OH4_batteries_1,20,20,0,0,0
OH4_biomass_1,20,20,0,0,0
OH4_conventional_hydroelectric_1,20,20,0,0,0
OH4_conventional_steam_coal_1,20,20,0,0,0
OH4_natural_gas_fired_combined_cycle_1,20,20,0,0,0
OH4_natural_gas_fired_combined_cycle_2,20,20,0,0,0
OH4_natural_gas_fired_combustion_turbine_1,20,20,0,0,0
OH4_petroleum_liquids_1,20,20,0,0,0
OH4_solar_photovoltaic_1,20,20,0,0,0
PA1_biomass_1,20,20,0,0,0
PA1_conventional_hydroelectric_1,20,20,0,0,0
PA1_conventional_steam_coal_1,20,20,0,0,0
PA1_natural_gas_fired_combined_cycle_1,20,20,0,0,0
