,pjm_avg,day,thi
1,0.0,0,57.4322
2,0.0,0,56.804
3,0.0,0,56.174
4,0.0,0,57.2234
5,0.0,0,58.605588683668
6,0.0,0,59.26529205207501
7,0.0,0,59.76834445311792
8,0.02014,0,60.02688941512506
9,0.0903,0,60.67502022221
10,0.1071,0,61.4510613790128
11,0.1191,0,61.8339695593982
12,0.1317,0,62.0379081634625
13,0.1315,0,62.124884067998
14,0.1293,0,62.430399850982
15,0.1344,0,63.00969361769823
16,0.0889,0,63.33793154221517
17,0.01377,0,64.141077113293
18,0.0,0,64.6008896866352
19,0.0,0,65.096167896766
20,0.0,0,65.290885981268
21,0.0,0,64.75967265565589
22,0.0,0,64.0640484548195
23,0.0,0,63.9293660721645
24,0.0,1,63.9293660721645
25,0.0,1,63.180489913177006
26,0.0,1,60.856700443950665
27,0.0,1,57.7634
28,0.0,1,55.783398
29,0.0,1,53.7134
30,0.0,1,51.7334
31,2.2e-06,1,50.4734
32,0.07153,1,49.2134
33,0.341,1,47.6834
34,0.4714,1,46.4234
35,0.4526,1,45.3434
36,0.4314,1,44.623398
37,0.4478,1,44.1734
38,0.4927,1,44.9834
39,0.5015,1,46.2434
40,0.3032,1,47.5034
41,0.02823,1,48.4934
42,0.0,1,49.9226
43,0.0,1,51.6326
44,0.0,1,51.9026
45,0.0,1,50.9126
46,0.0,1,48.8426
47,0.0,1,47.6834
48,0.0,2,47.0534
49,0.0,2,46.4234
50,0.0,2,45.8834
51,0.0,2,45.4334
52,0.0,2,44.3534
53,0.0,2,42.823402
54,0.0,2,44.3534
55,2e-06,2,45.2534
56,0.0688,2,44.5334
57,0.3577,2,43.6334
58,0.514,2,42.9134
59,0.4907,2,41.3834
60,0.4448,2,38.5034
61,0.4475,2,37.6934
62,0.4897,2,43.4534
63,0.4917,2,47.6834
64,0.2988,2,50.6534
65,0.02644,2,52.5434
66,0.0,2,54.5234
67,0.0,2,55.4234
68,0.0,2,55.873398
69,0.0,2,54.7934
70,0.0,2,52.7234
71,0.0,2,51.4634
72,0.0,3,50.7434
73,0.0,3,50.2934
74,0.0,3,50.1134
75,0.0,3,50.0234
76,0.0,3,49.9334
77,0.0,3,49.9334
78,0.0,3,49.7534
79,4e-07,3,50.5634
80,0.0254,3,50.833397
81,0.1952,3,50.9234
82,0.2986,3,51.4634
83,0.2932,3,51.283398
84,0.278,3,51.9134
85,0.2588,3,52.3634
86,0.2404,3,54.7034
87,0.2042,3,58.26028980298
88,0.0947,3,60.706749385756005
89,0.001418,3,62.24779377666259
90,0.0,3,62.7526570694608
91,0.0,3,63.53258952049151
92,0.0,3,62.859726377347
93,0.0,3,61.6805986948152
94,0.0,3,59.820894196992
95,0.0,3,58.895383717837
96,0.0,4,59.0546683065468
97,0.0,4,58.825908484583
98,0.0,4,58.5936798559295
99,0.0,4,58.436865039770005
100,0.0,4,58.601572851474
101,0.0,4,58.278783103982
102,0.0,4,58.11531042560693
103,0.0,4,59.46920698549767
104,0.0067,4,59.65408094595
105,0.02817,4,59.651170002915
106,0.06223,4,59.604985323074
107,0.0888,4,59.9477915831678
108,0.1054,4,60.12564209771248
109,0.1003,4,60.23211610051118
110,0.08264,4,61.288204819357
111,0.0666,4,63.180489913177006
112,0.04767,4,66.021006307339
113,0.002108,4,67.4151437348045
114,0.0,4,67.9516914447002
115,0.0,4,67.60823873902
116,0.0,4,67.032257497046
117,0.0,4,66.86050326270991
118,0.0,4,66.06884284799469
119,0.0,4,65.339250762383
120,0.0,5,64.82832499389639
121,0.0,5,64.80531371529278
122,0.0,5,64.642664739013
123,0.0,5,64.403123797533
124,0.0,5,64.326502383545
125,0.0,5,64.315779275424
126,0.0,5,64.49047000080499
127,0.0,5,65.02645991256901
128,0.0466,5,64.31156181449657
129,0.1777,5,64.401254204405
130,0.2128,5,64.32246790623955
131,0.2325,5,64.2434
132,0.2384,5,64.4353759814
133,0.2573,5,64.335548828284
134,0.2822,5,63.996945150068434
135,0.2874,5,63.8663449415
136,0.1901,5,65.246235812459
137,0.02629,5,66.3360122499965
138,0.0,5,66.70025567479685
139,0.0,5,67.5198611336
140,0.0,5,67.3652652746
141,0.0,5,66.3963340143
142,0.0,5,64.425215654
143,0.0,5,63.7650059716665
144,0.0,6,62.643314567791485
145,0.0,6,60.8005548169165
146,0.0,6,59.55585337016901
147,0.0,6,58.761065208802
148,0.0,6,57.943398
149,0.0,6,57.0434
150,0.0,6,56.3234
151,0.0,6,55.783398
152,0.02664,6,55.0634
153,0.1237,6,54.5234
154,0.1718,6,53.8934
155,0.1643,6,53.2634
156,0.1611,6,52.8134
157,0.1417,6,52.9934
158,0.11096,6,54.8834
159,0.0892,6,56.9534
160,0.03735,6,57.8534
161,0.002876,6,58.02780545613892
162,0.0,6,58.4160174286812
163,0.0,6,57.583397
164,0.0,6,57.3134
165,0.0,6,56.9534
166,0.0,6,56.9534
167,0.0,6,57.7634
168,0.0,7,59.182936403427
169,0.0,7,60.61413657169
170,0.0,7,61.6658544749165
171,0.0,7,62.815221111188805
172,0.0,7,64.113874685093
173,0.0,7,64.907382888994
174,0.0,7,65.27877717337
175,3e-07,7,64.645210440635
176,0.02574,7,65.186762968777
177,0.1654,7,65.50197072329
178,0.2727,7,65.6261481844828
179,0.3066,7,65.8092312039005
180,0.3308,7,65.438182774558
181,0.3628,7,65.97535901212862
182,0.413,7,66.2594337791032
183,0.4417,7,65.94888193979992
184,0.29,7,64.802835235543
185,0.03412,7,62.01799197415
186,0.0,7,58.201814465985
187,0.0,7,58.1091429519818
188,0.0,7,56.8634
189,0.0,7,56.3234
190,0.0,7,55.0634
191,0.0,7,53.8034
192,0.0,8,52.9034
193,0.0,8,51.373398
194,0.0,8,49.3934
195,0.0,8,47.7734
196,0.0,8,46.5134
197,0.0,8,45.3434
198,0.0,8,44.1734
199,0.0,8,43.1834
200,0.04987,8,42.2834
201,0.2247,8,41.4734
202,0.2966,8,40.7534
203,0.285,8,40.2134
204,0.2722,8,39.7634
205,0.264,8,39.7634
206,0.266,8,41.6534
207,0.2568,8,44.2634
208,0.169,8,46.6034
209,0.02672,8,48.583397
210,0.0,8,50.1134
211,0.0,8,51.1034
212,0.0,8,51.4634
213,0.0,8,50.7434
214,0.0,8,49.4834
215,0.0,8,48.2234
216,0.0,9,45.8834
217,0.0,9,43.8134
218,0.0,9,42.5534
219,0.0,9,42.2834
220,0.0,9,41.9234
221,0.0,9,41.3834
222,0.0,9,40.6634
223,3.8e-06,9,39.5834
224,0.0755,9,38.7734
225,0.344,9,37.9634
226,0.4678,9,37.3334
227,0.4421,9,36.6134
228,0.4087,9,36.0734
229,0.4082,9,35.7134
230,0.443,9,36.2534
231,0.4656,9,37.2434
232,0.3157,9,38.5034
233,0.04593,9,39.6734
234,0.0,9,40.573402
235,0.0,9,41.6534
236,0.0,9,41.8334
237,0.0,9,41.4734
238,0.0,9,40.4834
239,0.0,9,39.5834
240,0.0,10,39.0434
241,0.0,10,38.6834
242,0.0,10,38.4134
243,0.0,10,38.2334
244,0.0,10,37.9634
245,0.0,10,37.6934
246,0.0,10,37.3334
247,0.0,10,36.6134
248,0.05585,10,36.3434
249,0.2715,10,36.1634
250,0.3813,10,36.0734
251,0.3782,10,36.1634
252,0.3564,10,36.2534
253,0.345,10,36.6134
254,0.3364,10,38.6834
255,0.309,10,41.0234
256,0.17,10,42.9422
257,0.01761,10,46.8374
258,0.0,10,49.4474
259,0.0,10,50.6174
260,0.0,10,49.8974
261,0.0,10,49.037
262,0.0,10,48.047
263,0.0,10,46.967
264,0.0,11,46.967
265,0.0,11,47.147
266,0.0,11,47.327
267,0.0,11,46.877
268,0.0,11,48.136997
269,0.0,11,48.947
270,0.0,11,48.586998
271,0.0,11,50.836998
272,0.007614,11,51.467
273,0.0673,11,51.647
274,0.08307,11,51.737
275,0.1042,11,51.827
276,0.12195,11,51.827
277,0.1273,11,51.647
278,0.11255,11,51.737
279,0.1068,11,51.827
280,0.0747,11,54.0734
281,0.00824,11,56.9534
282,0.0,11,59.064656557842
283,0.0,11,60.70330903803
284,0.0,11,60.93397549592501
285,0.0,11,60.0388379368
286,0.0,11,58.02860216125417
287,0.0,11,55.6034
288,0.0,12,54.3434
289,0.0,12,54.077
290,0.0,12,53.897
291,0.0,12,53.807
292,0.0,12,53.897
293,0.0,12,54.077
294,0.0,12,54.077
295,0.0,12,57.226997
296,0.006123,12,57.767
297,0.05847,12,57.586998
298,0.1274,12,56.597
299,0.151,12,56.147
300,0.1638,12,55.877
301,0.163,12,55.697
302,0.144,12,55.427
303,0.1259,12,56.6834
304,0.07306,12,57.673397
305,0.00626,12,59.853251041083
306,0.0,12,62.1129199274329
307,0.0,12,63.897212136205496
308,0.0,12,63.83123155426281
309,0.0,12,63.069898206716005
310,0.0,12,61.1960184692118
311,0.0,12,59.142800338931
312,0.0,13,57.943398
313,0.0,13,57.2234
314,0.0,13,56.93
315,0.0,13,56.57
316,0.0,13,56.39
317,0.0,13,56.12
318,0.0,13,56.03
319,0.0,13,58.370462381287
320,0.01952,13,58.291952601012326
321,0.1047,13,57.9722
322,0.1522,13,57.3422
323,0.1675,13,56.9822
324,0.1796,13,56.8922
325,0.1729,13,56.6222
326,0.1555,13,57.1622
327,0.1357,13,59.832798583752
328,0.0899,13,62.527572134129
329,0.01071,13,64.520191672257
330,0.0,13,65.610533771841
331,0.0,13,66.404699453359
332,0.0,13,66.20531585453101
333,0.0,13,65.243691965817
334,0.0,13,63.463234118391
335,0.0,13,61.9054197071315
336,0.0,14,60.77513726990817
337,0.0,14,60.00234370802297
338,0.0,14,59.3815508659785
339,0.0,14,58.991710507207
340,0.0,14,58.434703809127
341,0.0,14,57.943398
342,0.0,14,57.7634
343,0.0,14,58.294337161620895
344,0.01527,14,58.772989927654
345,0.07526,14,59.017376714682506
346,0.1016,14,59.251900415412
347,0.1175,14,58.8597840261585
348,0.1345,14,58.69433092104656
349,0.1315,14,59.14227081915966
350,0.10803,14,60.27957699067751
351,0.0869,14,62.13868741720675
352,0.05795,14,64.064711167137
353,0.007446,14,65.21113237361399
354,0.0,14,66.20474478435099
355,0.0,14,66.8918820371304
356,0.0,14,66.68608354932002
357,0.0,14,65.85300454828679
358,0.0,14,64.78417432430203
359,0.0,14,63.834931102422
360,0.0,15,63.285122261032
361,0.0,15,62.724187135429
362,0.0,15,62.37918347725
363,0.0,15,62.16406393072761
364,0.0,15,62.019561834
365,0.0,15,61.304971498
366,0.0,15,60.937013844376
367,0.0,15,61.803567168991
368,0.02257,15,61.9675116265012
369,0.09985,15,61.986490760002
370,0.1682,15,61.8647946817275
371,0.1917,15,61.8215539417222
372,0.2069,15,61.846456789404
373,0.2123,15,62.01568697272229
374,0.2091,15,60.17804237154568
375,0.1968,15,58.752067551828
376,0.132,15,54.8834
377,0.02492,15,50.9234
378,0.0,15,49.8434
379,0.0,15,49.6634
380,0.0,15,48.7634
381,0.0,15,48.3134
382,0.0,15,48.1334
383,0.0,15,47.6834
384,0.0,16,47.2334
385,0.0,16,46.4234
386,0.0,16,45.4334
387,0.0,16,44.3534
388,0.0,16,43.2734
389,0.0,16,42.0134
390,0.0,16,40.8434
391,2.646e-05,16,39.1334
392,0.07587,16,38.2334
393,0.3813,16,37.4234
394,0.528,16,36.7034
395,0.5015,16,35.8034
396,0.4614,16,35.0834
397,0.4492,16,34.6334
398,0.4836,16,34.8134
399,0.4834,16,35.1734
400,0.3474,16,35.7134
401,0.0692,16,35.8034
402,0.0,16,36.3848
403,0.0,16,36.7448
404,0.0,16,37.2848
405,0.0,16,37.3748
406,0.0,16,35.8448
407,0.0,16,32.9234
408,0.0,17,33.1934
409,0.0,17,33.5534
410,0.0,17,34.0934
411,0.0,17,34.5434
412,0.0,17,35.1734
413,0.0,17,35.893402
414,0.0,17,36.7034
415,0.0,17,36.7934
416,0.0278,17,37.6934
417,0.0872,17,38.5034
418,0.12476,17,39.2234
419,0.1519,17,40.0334
420,0.1628,17,41.2034
421,0.1492,17,42.823402
422,0.1229,17,45.2534
423,0.0967,17,47.2334
