date,season,thi_extreme,thi_bin,wind_profile,hour
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.615,9
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.5713,10
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.516,11
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.457,12
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.4277,13
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.424,14
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.4392,15
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.479,16
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.5435,17
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.5825,18
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.615,19
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.6426,20
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.6587,21
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.666,22
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.6694,23
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.68,0
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.6914,1
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.702,2
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.712,3
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.713,4
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.709,5
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.709,6
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.6997,7
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.685,8
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.604,9
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.523,10
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.521,11
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.524,12
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.527,13
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.523,14
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.506,15
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.4634,16
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.4978,17
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.534,18
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.5337,19
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.5093,20
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.477,21
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.4321,22
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.3862,23
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.352,0
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3274,1
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3171,2
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3164,3
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3218,4
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3367,5
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3528,6
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3674,7
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.384,8
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3018,9
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.2101,10
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.1727,11
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.1857,12
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.2133,13
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.2396,14
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.2722,15
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3513,16
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.4482,17
