date,season,thi_extreme,thi_bin,wind_profile,hour
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.699,9
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.668,10
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.61,11
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.5786,12
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.553,13
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.527,14
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.528,15
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.545,16
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.554,17
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.564,18
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.5713,19
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.577,20
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.5947,21
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.613,22
2007-01-05,winter,58.11531042560693,"(55.0, 60.0]",0.6333,23
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.65,0
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.6553,1
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.6665,2
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.6787,3
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.701,4
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.7046,5
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.704,6
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.704,7
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.715,8
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.731,9
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.728,10
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.7236,11
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.6987,12
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.681,13
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.6724,14
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.657,15
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.6597,16
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.6714,17
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.6816,18
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.6675,19
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.6387,20
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.6064,21
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.5713,22
2007-01-06,winter,63.7650059716665,"(60.0, 65.0]",0.5386,23
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.4897,0
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.441,1
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3987,2
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3816,3
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3486,4
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.31,5
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3103,6
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3357,7
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.349,8
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3535,9
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3572,10
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.367,11
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.369,12
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3674,13
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.3652,14
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.387,15
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.4258,16
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.487,17
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.534,18
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.5947,19
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.6797,20
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.7295,21
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.7373,22
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.7246,23
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.702,0
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.7407,1
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.7803,2
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8047,3
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8257,4
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8516,5
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.876,6
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8877,7
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.918,8
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.9375,9
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.9414,10
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.9233,11
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.9155,12
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8696,13
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8447,14
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.818,15
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8345,16
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.879,17
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.911,18
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.928,19
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.921,20
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.9023,21
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8916,22
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8647,23
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.84,0
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.8057,1
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.767,2
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.7305,3
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.685,4
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.644,5
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.613,6
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.583,7
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.5664,8
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.5786,9
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.6157,10
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.642,11
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.672,12
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.6973,13
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.7495,14
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.8022,15
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.8374,16
