date,season,thi_extreme,thi_bin,solar_profile
2011-07-23,summer,81.1340893557378,"(80.0, 85.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.00047, 0.0707, 0.258, 0.3884, 0.4429, 0.4788, 0.487, 0.485, 0.4854, 0.4744, 0.427, 0.3633, 0.2917, 0.1847, 0.0392, 0.000696, 0.0, 0.0, 0.0]"
2011-07-24,summer,80.4837228612724,"(80.0, 85.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.001176, 0.0765, 0.2666, 0.394, 0.4707, 0.5337, 0.5596, 0.56, 0.5557, 0.5513, 0.528, 0.497, 0.4316, 0.2993, 0.09045, 0.00053, 0.0, 0.0, 0.0]"
