Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27,thi
2000.0,1.0,1.0,1.0,2000.0,1.0,168.0,168.0,1,508.26797780379695,4370.457055661158,5452.099134141327,2216.2554831354973,238.2056906471744,273.7527753471845,2815.6970130100517,4602.742991916786,15032.75600685241,3517.2620937834367,5637.583677,925.4254877,2220.0493476846746,2808.502340828456,626.9707767751896,1025.3387088527309,1331.7925921592416,156.0456135025885,92.46775745261507,4716.249613480731,26502.65040296848,960.1033140602732,7300.771696493841,232.47000201995607,46.11633286,783.7347394636316,619.5326638271924,76.593422319886
,2.0,1.0,0.0,1800.0,,,,2,507.6544257515162,4369.833879596266,5220.567235213744,2217.8732228130134,238.41529201680223,272.82804500787694,2810.5680137124828,4612.303587305417,14980.87937749757,3506.10694017432,5517.264921876003,905.6680000678977,2246.0282068275037,2841.560285843349,634.3075392869177,1037.3321495222408,1349.7603266316312,158.15174940142035,93.71661898,4779.806279502943,25900.053968355387,962.5564247556182,7463.751112006694,237.66620844728283,47.165104553869845,797.4095094887376,630.3448912,77.43858303986251
,3.0,1.0,0.0,1100.0,,,,3,491.4704379193834,4192.6961405081765,4896.888910933446,2140.872515,230.1661908,263.8707547956936,2722.203645,4435.857718419908,14373.667304692884,3383.953673,5238.642630707219,859.9396213579442,2191.634694020326,2772.901003739674,618.9582689241122,1012.2100488149986,1319.514870960726,154.62000169213772,91.62394469032084,4672.633729274394,24545.259871663744,935.1052306,7334.433763048536,233.5411476608877,46.35351256986867,781.7160294275833,617.9469725549174,76.4411949006375
,4.0,0.0,0.0,400.0,,,,4,487.3046061220663,4098.959554335203,4717.195533593193,2106.081988691569,226.45929930149572,262.05485659764173,2707.067378581733,4335.472401,14026.6773128124,3346.960515460982,5082.7939510154965,834.3565098378934,2183.745276291731,2763.061561288394,616.7269658478692,1008.562485827508,1319.689995842626,154.63850967517962,91.63450121012568,4673.217150993847,23798.628108392742,931.3775711984936,7322.635049958027,233.16903460037864,46.27737621881925,782.1157369950553,618.2711229221667,76.09454544387499
,,,,,,,,5,523.1261382418339,4285.262817538365,4867.752420173591,2220.4942531575057,238.8045388070757,283.3842348986565,2931.344923314186,4521.209859726657,14623.480027224448,3585.010976703562,5279.857219719069,866.7042726437159,2346.0163301140183,2968.5983870406512,662.5525068582198,1083.5122004914865,1429.5622306320213,167.50313292635087,99.258622271316,5062.261085562613,24633.054936394838,1006.1998743249744,7823.695622607264,249.1236114305652,49.429739598341385,845.0129999572423,668.0039505400155,75.77183763500001
,,,,,,,,6,576.6938315462533,4556.015928243312,5129.394257660168,2386.032927498919,256.6693534195114,314.5425427039301,3257.615567738745,4775.628496427915,15460.008061310153,3937.066358706024,5603.3326284283485,919.8085912077717,2572.816244010212,3255.878671877008,726.5956497052758,1188.2676206590347,1585.5868858041797,185.77312216351788,110.07842772000322,5614.720506314288,25905.43272511202,1115.2266740876992,8464.496697172375,269.5291034143403,53.48101442710235,933.2687304986936,737.7761492,74.924974974419
,,,,,,,,7,595.0244592641676,4588.693829670246,5237.2527841477695,2405.5006233210493,258.7750979549684,322.7049081810349,3344.15515809042,4762.819086285246,15414.717238718336,4066.245735,5738.911786215521,942.061654267354,2613.870782896233,3307.9072193933825,738.1776762080984,1207.2306003560132,1625.3143006726632,190.4164974518998,112.82231540698147,5755.464076106271,25968.627927946265,1143.6814910037335,8465.407309809663,269.5431833002176,53.46359965771772,949.5062126,750.6177833361921,73.5020559379842
,,,,,,,,8,575.1775986602712,4404.565478905951,5344.082234,2296.920848642795,247.0554349349724,309.77409392443724,3210.111552544226,4596.077486035773,14726.895290435525,3944.745535989109,5730.876910515223,940.7415282149652,2487.1461787715616,3147.212832,702.3863794392144,1148.7190761349352,1546.9411786037144,181.23068599549472,107.37928273166165,5478.019675,25246.95235960445,1095.526857061952,7943.740520723142,252.9365749045852,50.15517530892768,895.9125137610706,708.2488152445604,73.315504391506
,,,,,,,,9,593.9817576036071,4565.979443363018,5792.9074520040695,2357.451812653567,253.5218356349449,319.0792195955525,3302.6517172988288,4784.142931087561,15275.917640174408,4074.994536667939,6072.420736875823,996.8060865792694,2527.7571519677504,3198.3844915839904,713.8511627234516,1167.4739767643448,1571.4811654201858,184.0946753529525,109.07792600666872,5565.012299,26339.00979785443,1122.5975058880374,8007.036197231276,254.9441193132287,50.567688982877456,905.6947859418234,715.9764239955882,73.317061955958
,,,,,,,,10,618.4148153953372,4769.874022234558,6196.120501847304,2444.621500235962,262.8784484733427,331.9688347946418,3429.088565980437,4985.048654573686,15950.19967482608,4234.873624,6408.307326082939,1051.9459729516825,2600.449068825912,3290.3216007787587,734.3832367408061,1201.0527776821732,1613.8471933954447,189.0540644132012,112.00911874410347,5715.072181636857,27558.26372,1164.3673796749374,8192.894155,260.85986323696693,51.73813495667709,930.62066000553,735.6870760856506,73.342750569297
